p.person_id,person_name,year,ownership
3,"Svetozar Marović",2006,"AKCIJE ( 110 ) U HTP BUDV. RIVIJERA"
3,"Svetozar Marović",2009,"HTP ""BUDVANSKA RIVIJERA"" BUDVA 110"
8,"Dragan Ðurović",2005,"6.696 AKCIJA U AD PLANTAŽE PODGORICA"
9,"Dragan Đurović",2005,"6.696 AKCIJA U AD PLANTAŽE PODGORICA"
8,"Dragan Ðurović",2005,"2.852 AKCIJE U AD PLANTAŽE PODGORICA"
9,"Dragan Đurović",2005,"2.852 AKCIJE U AD PLANTAŽE PODGORICA"
8,"Dragan Ðurović",2008,"AKCIJE: AD PLANTAŽE 86696) I AIP POBJEDA (566)"
9,"Dragan Đurović",2008,"AKCIJE: AD PLANTAŽE 86696) I AIP POBJEDA (566)"
8,"Dragan Ðurović",2008,"AKCIJE: AD PLANTAŽE(2852) I NIP POBJEDA(566)"
9,"Dragan Đurović",2008,"AKCIJE: AD PLANTAŽE(2852) I NIP POBJEDA(566)"
10,"Marija Vučinović",2006,"AKCIJE U BRODOGRADILIŠTE BIJELA"
10,"Marija Vučinović",2006,"AKCIJE U BRODOGRADILIŠTE BIJELA"
76,"Izet Bralić",2009,"AKCIJE: ULCINJSKA RIVIJERA, UTIP, DUVANSKI KOMBINAT, LUKA BAR, PLANTAŽE"
78,"Dr Svetozar Golubović",2007,"AKCIJE: PEKARA V. MIJUŠKOVIĆ (5) I PEKARA AD NIKPEK (60)"
78,"Dr Svetozar Golubović",2008,"AKCIJE: PEKARA V. MIJUŠKOVIĆ (5) I PEKARA AD NIKŠIĆ(60)"
78,"Dr Svetozar Golubović",2009,"AKCIJE: PEKARA V. MIJUŠKOVIĆ NK (5), NIK PEK (60), INSTITUT ZA CRNU METALURGIJU (604)"
83,"Rifat Rastoder",2005,"MBP VAUČERI U HLT FONDU"
83,"Rifat Rastoder",2006,"VAUČER U HLT FONDU PODGORICA AKCIJE ( 660 ) U NIP "" POBJEDA """
83,"Rifat Rastoder",2006,"VAUČER U HLT FONDU"
83,"Rifat Rastoder",2008,"NIO ""POBJEDA""(0,034 %) PODGORICA I LUKA BAR (0,0010 %)"
85,"Zorica Kovačević",2005,"MBP VAUČERI U HLT FONDU"
88,"Osman Subašić",2008,"PIF MONETA PODG."
88,"Osman Subašić",2008,"PIF MONETA PODG."
92,"Branko Radulović",2008,"AKCIJE HLT FONDA (5000 POENA)"
95,"Milan Obradović",2007,"INSTITUT IGALO (45 AKCIJA)"
101,"Luið Škrelja",2005,"AD "" ALBATROS "" 754 AKCIJA"
102,"Luiđ Škrelja",2005,"AD "" ALBATROS "" 754 AKCIJA"
123,"Miodrag Vlahović",2005,"100 % DOO MCONSULT PODGORICA I 5% DOO ITALMOBI PODGORICA"
124,"Dr Igor Lukšić",2005,"MBP VAUČERI U "" MIG ""FONDU"
131,"Nebojša Medojević",2008,"CONSULTING STUDIO MEDOJEVIĆ (50 %) PODGORICA"
135,"Rešid Adrović",2007,"DOO ""LA VISTA"" PETNJICA (100 %)"
135,"Rešid Adrović",2007,"DOO ""FLEŠ RI"" (100 %) BERANE"
136,"Zoran Bošnjak",2006," FABRIKA ELEKTRODA PLUŽINE"
136,"Zoran Bošnjak",2006," SOLANA BAJO SEKULIĆ ULCINJ"
136,"Zoran Bošnjak",2006," HLT FOND PODGORICA"
137,"Miodrag Iličković",2005,"MBP PRIVATIZACIONI FOND "" MONETA"" 0,0034 %"
98,"Jusuf Kalamperović",2005,"POMORSKA AGENCIJA "" MERKUR ZCO "" BAR 20%"
98,"Jusuf Kalamperović",2006,"20 % SUVLASNIŠTVA U MALOJ TURISTIČKOJ AGENCIJI U BARU KOJA ZAPOŠLJAVA DVA RADNIKA"
11,"Damir Šehović",2009," PLANTAŽE PODGORICA"
13,"Božo Nikolić",2007,"HTP ""PRIMORJE"" TIVAT ( AKC. 2132)"
15,"Aleksandar Damjanović",2009," HTP ALBATROS (28)"
15,"Aleksandar Damjanović",2009," AD HIGIJENA PODG. (24)"
15,"Aleksandar Damjanović",2009," DINAMIK TRJD PODG. (98)"
21,"Rajko Kovačević",2005,"VAUČER U HLT FONDU"
21,"Rajko Kovačević",2008,"AKCIJE: BUDVANSKA RIVIJERA (110), DUVANSKI KOMBINAT (3000), TELEKOM (2945) "
21,"Rajko Kovačević",2008," VAUČER U ATLAS MONTU"
21,"Rajko Kovačević",2008,"VAUČER HLT FONDA"
33,"Predrag Sekulić",2006,"DVA VAUČERA ( MVP ) U PLANTAŽAMA DVA VAUČERA ( MVP ) U LOZATURSU"
37,"Zarija Franović",2006,"VAUČER U HTP KORALI"
38,"Miraš Radović",2005,"VAUČERI IZ MVP HLT FOND"
38,"Miraš Radović",2005,"VAUČER IZ MVP HLT FOND"
42,"Krsto Pavićević",2006,"HLT PODGORICA 1 VAUČER 200 E"
42,"Krsto Pavićević",2006,"TREND PODGORICA 1 VAUČER 400 E"
42,"Krsto Pavićević",2007,"VAUČER U HLT FONDU"
42,"Krsto Pavićević",2007,"VAUČER U FONDU TREND"
49,"Andrija Lompar",2007,"BRODOGRADILIŠTE BIJELA ( 0, 0001%)"
49,"Andrija Lompar",2007,"BRODOGRADILIŠTE BIJELA ( 0, 0001%)"
59,"Borislav Banović",2005,""" CETINJE TURIST "" CETINJE, MLJEKARA PODGORICA"
59,"Borislav Banović",2005,"PLANTAŽE AD PODGORICA"
59,"Borislav Banović",2009," CETINJETURIST CT"
59,"Borislav Banović",2009,""
66,"Redžep Taganović",2005,"AD "" OTRANTCOMERC "" ULCINJ 1,1986 %"
66,"Redžep Taganović",2008,"AD ""OTRANTKOMER"" ULCINJ, 1,19 % AKCIJA"
72,"Husnija Š. Šabović",2005,"MBP VAUČERI U HLT FONDU"
72,"Husnija Š. Šabović",2007,"VAUČER U HLT FONDU"
72,"Husnija Š. Šabović",2007,"VAUČER U HLT FONDU"
138,"Rafet Husović",2009," MAOS"
138,"Rafet Husović",2009," EURF"
138,"Rafet Husović",2009," MONF"
138,"Rafet Husović",2009," TREND"
138,"Rafet Husović",2009," TECG"
138,"Rafet Husović",2009," PLAP"
138,"Rafet Husović",2009," KAPCG"
140,"Obrad Stanišić",2008,"IZBOR BAR (13700AKC.), DVA VAUČERA NONETA FOND, DVA VAUČERA HLT FOND"
140,"Obrad Stanišić",2008,"VAUČER MONETA FOND"
140,"Obrad Stanišić",2009,"AKCIJE: MONETA FOND(2) I IZBOR BAR (38000)"
143,"Dr.Gordana Ðurović",2005,"TRI MVP VAUČERA U HLT FONDU"
144,"Dr.Gordana Đurović",2005,"TRI MVP VAUČERA U HLT FONDU"
143,"Dr.Gordana Ðurović",2005,"DVA VAUČERA U HLT FONDU"
144,"Dr.Gordana Đurović",2005,"DVA VAUČERA U HLT FONDU"
147,"Radivoje Nikčević",2005,"RUDNICI BOKSITA NIKŠIĆ 700"
147,"Radivoje Nikčević",2005,"JUGOPETROL KOTOR 140"
147,"Radivoje Nikčević",2006,"""PLANTAŽE"" 1.300 AKCIJA"
147,"Radivoje Nikčević",2006,"""JUGOPETROL"" KOTOR 140 AKCIJA"
147,"Radivoje Nikčević",2007,"""PLANTAŽE ( AKC. 1300) PODGORICA"
147,"Radivoje Nikčević",2007,"JUGOPETROL KOTOR ( 140 AKC. )"
147,"Radivoje Nikčević",2008,"JUGOPETROL KOTOR (140 AKCIJA)"
168,"Saša Pešić",2009," 1331 AKCIJA KUPLJENE OD KREDITA U CKB"
167,"Saša V Pešić",2009," 1331 AKCIJA KUPLJENE OD KREDITA U CKB"
170,"Dragoslav Minić",2009,"MVP EPCG"
178,"Budimir Šaranović",2007,"NIP POBJEDA, PG. (566 AKCIJA) SI PROMET, PG. (VAUČER)"
186,"Hajran Kalač",2008,"DVA VAUČERA EURO FONDA"
190,"Slobodan Radović",2009,"DOO ""KRUŠO"" HERCEG NOVI"
193,"Veljko Zarubica",2006,"AKCIJE U "" TREBJESA NIKŠIĆ"
156,"Ivan Brajović",2005,"AD "" VUP "" DANILOVGRAD 0,0619 %"
156,"Ivan Brajović",2007,"AD ""VUP"" DANILOVGRAD, 0,0619% ILI 20 AKCIJA"
156,"Ivan Brajović",2009,"VAUČER AD ""VUP"" DANILOVGRAD"
158,"Ervin Spahić",2005,"AKCIJEU "
158,"Ervin Spahić",2005," 1) TELEKOM "
158,"Ervin Spahić",2005," 2) BRATSVO I JEDINSTVO "
158,"Ervin Spahić",2006,"VAUČERI "
158,"Ervin Spahić",2006,"VAUČERI "
158,"Ervin Spahić",2009,"HOTEL ALBATROS ULCINJ"
158,"Ervin Spahić",2009," BRATSTVO JEDINSTVO ULCINJ"
158,"Ervin Spahić",2009," FARMA MORAVAC BIJELO POLJE"
158,"Ervin Spahić",2009," PLANTAŽE PODGORICA"
158,"Ervin Spahić",2009,"LENKA B. POLJE, GORNJI IBAR PODGORICA, PLANTAŽE PODGORICA, ZETATRANS PODGORICA"
